period of sales,cat#,album name,cd units sold,cd sales $,dd sales $,expenses,total profit,artist payout
2011.1, AOF088, Harm's Way, 160, 1515.22, 845.38, 1701.53, 659.07, 329.54
2011.2, AOF088, Harm's Way, 54, 446.34, 191.18, 0, 644.52, 322.26
2012.1, AOF088, Harm's Way, 23, 172.61, 245.26, 0, 417.87, 208.93
2012.2, AOF088, Harm's Way, 200, 1632.99, 340.67, 0, 1973.66, 986.83
2012.2, AOF132, Rag Doll Blues, 474, 6101.18, 1323.98, 2181.50, 5405.26, 2469.26
2013.1, AOF088, Harm's Way, 7, 67.26, 260.78, 0, 328.04, 164.02
2013.1, AOF132, Rag Doll Blues, 0, 0, 933.47, 0, 933.47, 466.74 
2013.2, AOF088, Harm's Way, 0, 0, 248.61, 0, 248.61, 123.73
2013.2, AOF132, Rag Doll Blues, 102, 492.84, 556.53, 0, 1049.37, 524.69
2014.1, AOF088, Harm's Way, 0, 0, 337.71, 0, 337.71, 168.86 
2014.1, AOF132, Rag Doll Blues, 19, 326.14, 403.26, 0, 729.40, 364.70
2014.2, AOF088, Harm's Way, 0, 0, 192.40, 0, 192.40, 23.54
2014.2, AOF132, Rag Doll Blues, 6, 130.24, 393.07, 0, 523.31, 261.65
2015.1, AOF088, Harm's Way, 0, 0, 210.2, 0, 210.20, 8.90
2015.1, AOF132, Rag Doll Blues, 18, 95.05, 191.84, 230.23, 0, 296.77, 148.38
2015.2, AOF088, Harm's Way, 0, 0, 249.59, 0, 249.59, 120.60
2015.2, AOF132, Rag Doll Blues, 42, 267, 366.73, 0, 582.15, 291.08
2015.2, AOF236, All the Way Down, 282, 3566.17, 1203.03, 2359.20, 1340.15, 670.07
2016.1, AOF088, Harm's Way, 0, 0, 246.02, 0, 246.02, 123.01
2016.1, AOF132, Rag Doll Blues, 53, 357.64, 334.47, 0, 665.19, 332.59
2016.1, AOF236, All the Way Down, 252, 2367.82, 1199.68, 0, 4841.47, 2420.74
2016.2, AOF088, Harm's Way, 81, 656.40, 170.35, 905.7, 826.75, -78.95
2016.2, AOF132, Rag Doll Blues, 65, 612.45, 282.56, 0, 818.56, 409.28
2016.2, AOF236, All the Way Down, 64, 525.30, 579.76, 0, 1657.82, 828.91
2016.2, AOF244, Eyes on Backwards, 175, 1987.95, 557.53, 4804.68, 500.01, 250.01
2017.1, AOF088, Harm's Way, 112, 400.42, 150.26, 0, 550.68, 275.34
2017.1, AOF132, Rag Doll Blues, 46, 259.23, 247.39, 0, 612.58, 306.29
2017.1, AOF236, All the Way Down, 47, 287.39, 435.62, 0, 794.38, 397.19
2017.1, AOF244, Eyes on Backwards, 311, 2198.64, 747.95, 4622.99, 2311.50
2017.2, AOF088, Harm's Way, 28, 303.79, 111.86, 0, 415.65, 207.82
2017.2, AOF132, Rag Doll Blues, 32, 171.37, 219.62, 0, 417.35, 208.67
2017.2, AOF236, All the Way Down, 22, 161.15, 301.72, 0, 500.74, 250.37
2017.2, AOF244, Eyes on Backwards, 54, 477.21, 280.18, 0, 2166.63, 1064.36
2018.0, AOF088, Harm's Way, 70, 259.21, 201.08, 0, 460.29, 230.14
2018.0, AOF132, Rag Doll Blues, 36, 228.47, 376.67, 0, 588.01, 294
2018.0, AOF236, All the Way Down, 65, 419.50, 482.50, 0, 824.49, 412.24
2018.0, AOF244, Eyes on Backwards, 105, 672.74, 281.72, 0, 3206.55, 1603.27
2019.1, AOF088, Harm's Way, 33, 187.98, 99.28, 0, 287.26, 143.63
2019.1, AOF132, Rag Doll Blues, 1, 4.13, 195.68, 0, 267.11, 133.55
2019.1, AOF236, All the Way Down, 29, 134.99, 355.51, 0, 575.86, 287.93
2019.1, AOF244, Eyes on Backwards, 54, 288.68, 147.78, 0, 1024.08, 512.04
